"Player","Span","Mat","Inns","NO","Runs","HS","Ave","100","50","0","InningsURL"
"T Bavuma (SA)","2014-2025",66,114,14,3810,"172",38.1,4,26,10,"https://stats.espncricinfo.com/ci/engine/player/372116.html?class=1;template=results;type=batting;view=innings"
"Imran Khan (PAK)","1971-1992",88,126,25,3807,"136",37.69,6,18,8,"https://stats.espncricinfo.com/ci/engine/player/40560.html?class=1;template=results;type=batting;view=innings"
"CL Walcott (WI)","1948-1960",44,74,7,3798,"220",56.68,15,14,1,"https://stats.espncricinfo.com/ci/engine/player/53211.html?class=1;template=results;type=batting;view=innings"
"BJ Watling (NZ)","2009-2021",75,117,16,3790,"205",37.52,8,19,10,"https://stats.espncricinfo.com/ci/engine/player/38924.html?class=1;template=results;type=batting;view=innings"
"SM Pollock (SA)","1995-2008",108,156,39,3781,"111",32.31,2,16,9,"https://stats.espncricinfo.com/ci/engine/player/46774.html?class=1;template=results;type=batting;view=innings"
"OJ Pope (ENG)","2018-2025",64,113,5,3732,"205",34.55,9,16,6,"https://stats.espncricinfo.com/ci/engine/player/887207.html?class=1;template=results;type=batting;view=innings"
"SR Watson (AUS)","2005-2015",59,109,3,3731,"176",35.19,4,24,6,"https://stats.espncricinfo.com/ci/engine/player/8180.html?class=1;template=results;type=batting;view=innings"
"WJ Cronje (SA)","1992-2000",68,111,9,3714,"135",36.41,6,23,11,"https://stats.espncricinfo.com/ci/engine/player/44485.html?class=1;template=results;type=batting;view=innings"
"AG Prince (SA)","2002-2011",66,104,16,3665,"162*",41.64,11,11,7,"https://stats.espncricinfo.com/ci/engine/player/46788.html?class=1;template=results;type=batting;view=innings"
"SCJ Broad (ENG)","2007-2023",167,244,41,3662,"169",18.03,1,13,39,"https://stats.espncricinfo.com/ci/engine/player/10617.html?class=1;template=results;type=batting;view=innings"
"Mohammad Hafeez (PAK)","2003-2018",55,105,8,3652,"224",37.64,10,12,8,"https://stats.espncricinfo.com/ci/engine/player/41434.html?class=1;template=results;type=batting;view=innings"
"Mushtaq Mohammad (PAK)","1959-1979",57,100,7,3643,"201",39.17,10,19,4,"https://stats.espncricinfo.com/ci/engine/player/41318.html?class=1;template=results;type=batting;view=innings"
"RW Marsh (AUS)","1970-1984",96,150,13,3633,"132",26.51,3,16,12,"https://stats.espncricinfo.com/ci/engine/player/6502.html?class=1;template=results;type=batting;view=innings"
"DM Jones (AUS)","1984-1992",52,89,11,3631,"216",46.55,11,14,11,"https://stats.espncricinfo.com/ci/engine/player/6044.html?class=1;template=results;type=batting;view=innings"
"PR Umrigar (IND)","1948-1962",59,94,8,3631,"223",42.22,12,14,5,"https://stats.espncricinfo.com/ci/engine/player/35577.html?class=1;template=results;type=batting;view=innings"
"DL Amiss (ENG)","1966-1977",50,88,10,3612,"262*",46.3,11,11,10,"https://stats.espncricinfo.com/ci/engine/player/8535.html?class=1;template=results;type=batting;view=innings"
"AW Greig (ENG)","1972-1977",58,93,4,3599,"148",40.43,8,20,5,"https://stats.espncricinfo.com/ci/engine/player/13463.html?class=1;template=results;type=batting;view=innings"
"Z Crawley (ENG)","2019-2026",64,117,2,3586,"267",31.18,5,21,12,"https://stats.espncricinfo.com/ci/engine/player/665053.html?class=1;template=results;type=batting;view=innings"
"Asif Iqbal (PAK)","1964-1980",58,99,7,3575,"175",38.85,11,12,9,"https://stats.espncricinfo.com/ci/engine/player/39010.html?class=1;template=results;type=batting;view=innings"
"DM Bravo (WI)","2010-2020",56,102,5,3538,"218",36.47,8,17,5,"https://stats.espncricinfo.com/ci/engine/player/277472.html?class=1;template=results;type=batting;view=innings"
"AR Morris (AUS)","1946-1955",46,79,3,3533,"206",46.48,12,12,4,"https://stats.espncricinfo.com/ci/engine/player/6644.html?class=1;template=results;type=batting;view=innings"
"EH Hendren (ENG)","1920-1935",51,83,9,3525,"205*",47.63,7,21,4,"https://stats.espncricinfo.com/ci/engine/player/14158.html?class=1;template=results;type=batting;view=innings"
"R Ashwin (IND)","2011-2024",106,151,15,3503,"124",25.75,6,14,9,"https://stats.espncricinfo.com/ci/engine/player/26421.html?class=1;template=results;type=batting;view=innings"
"RR Pant (IND)","2018-2025",49,86,5,3476,"159*",42.91,8,18,3,"https://stats.espncricinfo.com/ci/engine/player/931581.html?class=1;template=results;type=batting;view=innings"
"B Mitchell (SA)","1929-1949",42,80,9,3471,"189*",48.88,8,21,3,"https://stats.espncricinfo.com/ci/engine/player/46233.html?class=1;template=results;type=batting;view=innings"
"GW Flower (ZIM)","1992-2004",67,123,6,3457,"201*",29.54,6,15,16,"https://stats.espncricinfo.com/ci/engine/player/55429.html?class=1;template=results;type=batting;view=innings"
"BE Congdon (NZ)","1965-1978",61,114,7,3448,"176",32.22,7,19,9,"https://stats.espncricinfo.com/ci/engine/player/36611.html?class=1;template=results;type=batting;view=innings"
"JR Reid (NZ)","1949-1965",58,108,5,3428,"142",33.28,6,22,5,"https://stats.espncricinfo.com/ci/engine/player/38248.html?class=1;template=results;type=batting;view=innings"
"C Hill (AUS)","1896-1912",49,89,2,3412,"191",39.21,7,19,9,"https://stats.espncricinfo.com/ci/engine/player/5662.html?class=1;template=results;type=batting;view=innings"
"GA Hick (ENG)","1991-2001",65,114,6,3383,"178",31.32,6,18,11,"https://stats.espncricinfo.com/ci/engine/player/14187.html?class=1;template=results;type=batting;view=innings"
"GM Wood (AUS)","1978-1988",59,112,6,3374,"172",31.83,9,13,9,"https://stats.espncricinfo.com/ci/engine/player/8251.html?class=1;template=results;type=batting;view=innings"
"PJL Dujon (WI)","1981-1991",81,115,11,3322,"139",31.94,5,16,8,"https://stats.espncricinfo.com/ci/engine/player/51657.html?class=1;template=results;type=batting;view=innings"
"CL Cairns (NZ)","1989-2004",62,104,5,3320,"158",33.53,5,22,7,"https://stats.espncricinfo.com/ci/engine/player/36597.html?class=1;template=results;type=batting;view=innings"
"Ijaz Ahmed (PAK)","1987-2001",60,92,4,3315,"211",37.67,12,12,7,"https://stats.espncricinfo.com/ci/engine/player/40551.html?class=1;template=results;type=batting;view=innings"
"Q de Kock (SA)","2014-2021",54,91,6,3300,"141*",38.82,6,22,7,"https://stats.espncricinfo.com/ci/engine/player/379143.html?class=1;template=results;type=batting;view=innings"
"FE Woolley (ENG)","1909-1934",64,98,7,3283,"154",36.07,5,23,13,"https://stats.espncricinfo.com/ci/engine/player/22518.html?class=1;template=results;type=batting;view=innings"
"KWR Fletcher (ENG)","1968-1982",59,96,14,3272,"216",39.9,7,19,6,"https://stats.espncricinfo.com/ci/engine/player/12854.html?class=1;template=results;type=batting;view=innings"
"BJ Haddin (AUS)","2008-2015",66,112,13,3266,"169",32.98,4,18,8,"https://stats.espncricinfo.com/ci/engine/player/5560.html?class=1;template=results;type=batting;view=innings"
"ND McKenzie (SA)","2000-2009",58,94,7,3253,"226",37.39,5,16,9,"https://stats.espncricinfo.com/ci/engine/player/46208.html?class=1;template=results;type=batting;view=innings"
"CC Hunte (WI)","1958-1967",44,78,6,3245,"260",45.06,8,13,5,"https://stats.espncricinfo.com/ci/engine/player/52070.html?class=1;template=results;type=batting;view=innings"
"VL Manjrekar (IND)","1951-1965",55,92,10,3208,"189*",39.12,7,15,11,"https://stats.espncricinfo.com/ci/engine/player/30936.html?class=1;template=results;type=batting;view=innings"
"NS Sidhu (IND)","1983-1999",51,78,2,3202,"201",42.13,9,15,9,"https://stats.espncricinfo.com/ci/engine/player/34028.html?class=1;template=results;type=batting;view=innings"
"AK Markram (SA)","2017-2025",50,92,2,3192,"152",35.46,8,13,7,"https://stats.espncricinfo.com/ci/engine/player/600498.html?class=1;template=results;type=batting;view=innings"
"HC Brook (ENG)","2022-2026",35,60,2,3178,"317",54.79,10,15,4,"https://stats.espncricinfo.com/ci/engine/player/911707.html?class=1;template=results;type=batting;view=innings"
"HA Gomes (WI)","1976-1987",60,91,11,3171,"143",39.63,9,13,5,"https://stats.espncricinfo.com/ci/engine/player/51891.html?class=1;template=results;type=batting;view=innings"
"VT Trumper (AUS)","1899-1912",48,89,8,3163,"214*",39.04,8,13,7,"https://stats.espncricinfo.com/ci/engine/player/7980.html?class=1;template=results;type=batting;view=innings"
"HM Nicholls (NZ)","2016-2025",58,90,9,3161,"200*",39.02,10,12,6,"https://stats.espncricinfo.com/ci/engine/player/539511.html?class=1;template=results;type=batting;view=innings"
"SK Warne (AUS)","1992-2007",145,199,17,3154,"99",17.32,0,12,34,"https://stats.espncricinfo.com/ci/engine/player/8166.html?class=1;template=results;type=batting;view=innings"
"Sir RJ Hadlee (NZ)","1973-1990",86,134,19,3124,"151*",27.16,2,15,12,"https://stats.espncricinfo.com/ci/engine/player/37224.html?class=1;template=results;type=batting;view=innings"
"Litton Das (BAN)","2015-2025",52,90,2,3117,"141",35.42,5,19,2,"https://stats.espncricinfo.com/ci/engine/player/536936.html?class=1;template=results;type=batting;view=innings"
"CD McMillan (NZ)","1997-2005",55,91,10,3116,"142",38.46,6,19,7,"https://stats.espncricinfo.com/ci/engine/player/37712.html?class=1;template=results;type=batting;view=innings"
"CC McDonald (AUS)","1952-1961",47,83,4,3107,"170",39.32,5,17,2,"https://stats.espncricinfo.com/ci/engine/player/6554.html?class=1;template=results;type=batting;view=innings"
"BF Butcher (WI)","1958-1969",44,78,6,3104,"209*",43.11,7,16,3,"https://stats.espncricinfo.com/ci/engine/player/51239.html?class=1;template=results;type=batting;view=innings"
"MM Ali (ENG)","2014-2023",68,118,8,3094,"155*",28.12,5,15,15,"https://stats.espncricinfo.com/ci/engine/player/8917.html?class=1;template=results;type=batting;view=innings"
"WPUJC Vaas (SL)","1994-2009",111,162,35,3089,"100*",24.32,1,13,12,"https://stats.espncricinfo.com/ci/engine/player/50804.html?class=1;template=results;type=batting;view=innings"
"BM Duckett (ENG)","2016-2026",43,80,3,3074,"182",39.92,6,16,6,"https://stats.espncricinfo.com/ci/engine/player/521637.html?class=1;template=results;type=batting;view=innings"
"AL Hassett (AUS)","1938-1953",43,69,3,3073,"198*",46.56,10,11,1,"https://stats.espncricinfo.com/ci/engine/player/5607.html?class=1;template=results;type=batting;view=innings"
"JO Holder (WI)","2014-2024",69,123,20,3073,"202*",29.83,3,14,11,"https://stats.espncricinfo.com/ci/engine/player/391485.html?class=1;template=results;type=batting;view=innings"
"CG Borde (IND)","1958-1969",55,97,11,3061,"177*",35.59,5,18,13,"https://stats.espncricinfo.com/ci/engine/player/26962.html?class=1;template=results;type=batting;view=innings"
"Sarfaraz Ahmed (PAK)","2010-2023",54,95,14,3031,"118",37.41,4,21,4,"https://stats.espncricinfo.com/ci/engine/player/227760.html?class=1;template=results;type=batting;view=innings"
"Habibul Bashar (BAN)","2000-2008",50,99,1,3026,"113",30.87,3,24,7,"https://stats.espncricinfo.com/ci/engine/player/55906.html?class=1;template=results;type=batting;view=innings"
"JC Adams (WI)","1992-2001",54,90,17,3012,"208*",41.26,6,14,7,"https://stats.espncricinfo.com/ci/engine/player/51100.html?class=1;template=results;type=batting;view=innings"
"Saeed Ahmed (PAK)","1958-1973",41,78,4,2991,"172",40.41,5,16,2,"https://stats.espncricinfo.com/ci/engine/player/42603.html?class=1;template=results;type=batting;view=innings"
"GM Turner (NZ)","1969-1983",41,73,6,2991,"259",44.64,7,14,1,"https://stats.espncricinfo.com/ci/engine/player/38622.html?class=1;template=results;type=batting;view=innings"
"Taufeeq Umar (PAK)","2001-2014",44,83,5,2963,"236",37.98,7,14,6,"https://stats.espncricinfo.com/ci/engine/player/43363.html?class=1;template=results;type=batting;view=innings"
"AD Nourse (SA)","1935-1951",34,62,7,2960,"231",53.81,9,14,3,"https://stats.espncricinfo.com/ci/engine/player/46589.html?class=1;template=results;type=batting;view=innings"
"KR Miller (AUS)","1946-1956",55,87,7,2958,"147",36.97,7,13,5,"https://stats.espncricinfo.com/ci/engine/player/6612.html?class=1;template=results;type=batting;view=innings"
"HW Taylor (SA)","1912-1932",42,76,4,2936,"176",40.77,7,17,2,"https://stats.espncricinfo.com/ci/engine/player/47535.html?class=1;template=results;type=batting;view=innings"
"AH Jones (NZ)","1987-1995",39,74,8,2922,"186",44.27,7,11,2,"https://stats.espncricinfo.com/ci/engine/player/37491.html?class=1;template=results;type=batting;view=innings"
"Mahmudullah (BAN)","2009-2021",50,94,7,2914,"150*",33.49,5,16,11,"https://stats.espncricinfo.com/ci/engine/player/56025.html?class=1;template=results;type=batting;view=innings"
"JC Buttler (ENG)","2014-2022",57,100,9,2907,"152",31.94,2,18,9,"https://stats.espncricinfo.com/ci/engine/player/308967.html?class=1;template=results;type=batting;view=innings"
"J Blackwood (WI)","2014-2023",56,102,6,2898,"112*",30.18,3,18,7,"https://stats.espncricinfo.com/ci/engine/player/431909.html?class=1;template=results;type=batting;view=innings"
"D Ramdin (WI)","2005-2016",74,126,14,2898,"166",25.87,4,15,9,"https://stats.espncricinfo.com/ci/engine/player/52917.html?class=1;template=results;type=batting;view=innings"
"Wasim Akram (PAK)","1985-2002",104,147,19,2898,"257*",22.64,3,7,17,"https://stats.espncricinfo.com/ci/engine/player/43547.html?class=1;template=results;type=batting;view=innings"
"SL Campbell (WI)","1995-2002",52,93,4,2882,"208",32.38,4,18,7,"https://stats.espncricinfo.com/ci/engine/player/51462.html?class=1;template=results;type=batting;view=innings"
"AC Parore (NZ)","1990-2002",78,128,19,2865,"110",26.28,2,14,6,"https://stats.espncricinfo.com/ci/engine/player/38117.html?class=1;template=results;type=batting;view=innings"
"WW Armstrong (AUS)","1902-1921",50,84,10,2863,"159*",38.68,6,8,6,"https://stats.espncricinfo.com/ci/engine/player/3982.html?class=1;template=results;type=batting;view=innings"
"ADR Campbell (ZIM)","1992-2002",60,109,4,2858,"103",27.21,2,18,10,"https://stats.espncricinfo.com/ci/engine/player/55301.html?class=1;template=results;type=batting;view=innings"
"GR Marsh (AUS)","1985-1992",50,93,7,2854,"138",33.18,4,15,3,"https://stats.espncricinfo.com/ci/engine/player/6499.html?class=1;template=results;type=batting;view=innings"
"Shubman Gill (IND)","2020-2025",40,73,7,2843,"269",43.07,10,8,5,"https://stats.espncricinfo.com/ci/engine/player/1070173.html?class=1;template=results;type=batting;view=innings"
"Ramiz Raja (PAK)","1984-1997",57,94,5,2833,"122",31.83,2,22,7,"https://stats.espncricinfo.com/ci/engine/player/42420.html?class=1;template=results;type=batting;view=innings"
"Aamer Sohail (PAK)","1992-2000",47,83,3,2823,"205",35.28,5,13,6,"https://stats.espncricinfo.com/ci/engine/player/38967.html?class=1;template=results;type=batting;view=innings"
"Wasim Raja (PAK)","1973-1985",57,92,14,2821,"125",36.16,4,18,8,"https://stats.espncricinfo.com/ci/engine/player/43553.html?class=1;template=results;type=batting;view=innings"
"KR Stackpole (AUS)","1966-1974",43,80,5,2807,"207",37.42,7,14,5,"https://stats.espncricinfo.com/ci/engine/player/7666.html?class=1;template=results;type=batting;view=innings"
"MAK Pataudi (IND)","1961-1975",46,83,3,2793,"203*",34.91,6,16,7,"https://stats.espncricinfo.com/ci/engine/player/32222.html?class=1;template=results;type=batting;view=innings"
"KC Wessels (AUS/SA)","1982-1994",40,71,3,2788,"179",41,6,15,5,"https://stats.espncricinfo.com/ci/engine/player/47884.html?class=1;template=results;type=batting;view=innings"
"NCL O'Neill (AUS)","1958-1965",42,69,8,2779,"181",45.55,6,15,6,"https://stats.espncricinfo.com/ci/engine/player/7015.html?class=1;template=results;type=batting;view=innings"
"MH Richardson (NZ)","2000-2004",38,65,3,2776,"145",44.77,4,19,1,"https://stats.espncricinfo.com/ci/engine/player/38251.html?class=1;template=results;type=batting;view=innings"
"M Leyland (ENG)","1928-1938",41,65,5,2764,"187",46.06,9,10,6,"https://stats.espncricinfo.com/ci/engine/player/16287.html?class=1;template=results;type=batting;view=innings"
"SMH Kirmani (IND)","1976-1986",88,124,22,2759,"102",27.04,2,12,7,"https://stats.espncricinfo.com/ci/engine/player/30116.html?class=1;template=results;type=batting;view=innings"
"N Dickwella (SL)","2014-2023",54,96,7,2757,"96",30.97,0,22,4,"https://stats.espncricinfo.com/ci/engine/player/429754.html?class=1;template=results;type=batting;view=innings"
"GN Yallop (AUS)","1976-1984",39,70,3,2756,"268",41.13,8,9,3,"https://stats.espncricinfo.com/ci/engine/player/8448.html?class=1;template=results;type=batting;view=innings"
"SJ McCabe (AUS)","1930-1938",39,62,5,2748,"232",48.21,6,13,4,"https://stats.espncricinfo.com/ci/engine/player/6540.html?class=1;template=results;type=batting;view=innings"
"Moin Khan (PAK)","1990-2004",69,104,8,2741,"137",28.55,4,15,5,"https://stats.espncricinfo.com/ci/engine/player/41306.html?class=1;template=results;type=batting;view=innings"
"Mohammad Ashraful (BAN)","2001-2013",61,119,5,2737,"190",24,6,8,16,"https://stats.espncricinfo.com/ci/engine/player/55988.html?class=1;template=results;type=batting;view=innings"
